date,totaltest,totalcase,totaldeath
20200318,10000,191,2
20200319,11981,359,4
20200320,15637,670,9
20200321,18607,947,21
20200322,20345,1236,30
20200323,24017,1529,37
20200324,27969,1872,44
20200325,33004,2433,59
20200326,40290,3629,75
20200327,47823,5698,92
20200328,55464,7402,108
20200329,65446,9217,131
20200330,76981,10827,168
20200331,92403,13531,214
20200401,106799,15679,277
20200402,125556,18135,356
20200403,141716,20921,425
20200404,161380,23934,501
20200405,181445,27069,574
20200406,202845,30217,649
20200407,222868,34109,725
20200408,247768,38226,812
20200409,276338,42282,908
20200410,307210,47029,1006
20200411,340380,52167,1101
20200412,376100,56956,1198
20200413,410556,61049,1296
20200414,443626,65111,1403
20200415,477716,69362,1518
20200416,518143,74193,1643
20200417,558413,78546,1769
20200418,598933,82329,1890
20200419,634277,86306,2017
20200420,673980,90980,2140
20200421,713409,95591,2259
20200422,750944,98674,2376
20200423,791906,101790,2491
20200424,830257,104912,2600
20200425,868565,107773,2706
20200426,889742,110130,2805
20200427,918885,112261,2900
20200428,948115,114653,2992
20200429,991613,117589,3081
20200430,1033617,120204,3174
20200501,1075048,122392,3258
20200502,1111366,124375,3336
20200503,1135367,126045,3397
20200504,1171138,127659,3461
20200505,1204421,129491,3520
20200506,1234724,131744,3584
20200507,1265119,133721,3641
20200508,1298806,135569,3689
20200509,1334411,137115,3739
20200510,1370598,138598,3786
20200511,1403320,139771,3841
20200512,1440671,141475,3894
20200513,1474003,143114,3952
20200514,1508824,144749,4007
20200515,1547389,146389,4055
20200516,1589625,148067,4096
20200517,1624994,149435,4140
20200518,1650135,150593,4171
20200519,1675517,151615,4199
20200520,1696355,152587,4222
20200521,1729988,153548,4249
